Date,Company Name,Quater,Price,Open,High,Low,Close,Adj Close,Volume
2024-11-19,Google,Q4,178.1199951,173.7200012,178.8699951,173.5599976,178.1199951,177.9160919,23434900.0
2024-11-20,Google,Q4,175.9799957,177.3399963,177.6799927,173.7799988,175.9799957,175.7785339,18997100.0
2024-11-21,Google,Q4,167.6300049,173.8999939,174.1300049,163.6999969,167.6300049,167.4381104,59734400.0
2024-11-22,Google,Q4,164.7599945,165.8500061,166.4600067,163.8999939,164.7599945,164.5713806,38604600.0
2024-11-25,Google,Q4,167.6499939,166.0899963,168.6300049,165.6100006,167.6499939,167.4580688,33135300.0
2024-11-26,Google,Q4,169.1199951,167.6300049,169.8200073,167.5800018,169.1199951,168.9263916,20486700.0
2024-11-27,Google,Q4,169.2299957,169.0,169.4799957,168.0200043,169.2299957,169.0362701,19266500.0
2024-11-29,Google,Q4,168.9499969,168.5,169.4299927,167.1600037,168.9499969,168.7565918,14257200.0
2024-12-02,Google,Q4,171.4900055,168.7700043,172.0800018,168.5700073,171.4900055,171.2936859,23789100.0
2024-12-03,Google,Q4,171.3399963,171.4900055,172.6799927,170.8500061,171.3399963,171.1438446,22248700.0
2024-12-04,Google,Q4,174.3699951,171.1499939,174.9100037,171.0599976,174.3699951,174.1703796,31615100.0
2024-12-05,Google,Q4,172.6399994,175.3600006,176.0599976,172.3300018,172.6399994,172.4423676,21356200.0
2024-12-06,Google,Q4,174.7100067,172.0299988,175.0800018,171.8600006,174.7100067,174.5100098,21462400.0
2024-12-09,Google,Q4,175.3699951,173.9600067,176.2599945,173.6499939,175.3699951,175.3699951,25389600.0
2024-12-10,Google,Q4,185.1699982,182.8500061,186.3600006,181.0500031,185.1699982,185.1699982,54813000.0
2024-12-11,Google,Q4,195.3999939,185.3099976,195.6100006,184.8500061,195.3999939,195.3999939,67894100.0
2024-12-12,Google,Q4,191.9600067,195.0,195.1799927,191.7100067,191.9600067,191.9600067,34817500.0
2024-12-13,Google,Q4,189.8200073,191.0099945,192.7299957,189.6399994,189.8200073,189.8200073,25143500.0
2024-12-16,Google,Q4,196.6600037,192.8699951,199.0,192.6199951,196.6600037,196.6600037,44934900.0
2024-12-17,Google,Q4,195.4199982,197.25,201.4199982,194.9799957,195.4199982,195.4199982,43504000.0
2024-12-18,Google,Q4,188.3999939,195.2200012,197.0,187.7400055,188.3999939,188.3999939,34166100.0
2024-12-19,Google,Q4,188.5099945,191.6300049,193.0299988,188.3800049,188.5099945,188.5099945,32265200.0
2024-12-20,Google,Q4,191.4100037,185.7799988,192.8899994,185.2200012,191.4100037,191.4100037,63462900.0
2024-12-23,Google,Q4,194.6300049,192.6199951,195.1000061,190.1499939,194.6300049,194.6300049,25675000.0
2024-12-24,Google,Q4,196.1100006,194.8399963,196.1100006,193.7799988,196.1100006,196.1100006,10403300.0
2024-12-26,Google,Q4,195.6000061,195.1499939,196.75,194.3800049,195.6000061,195.6000061,12046600.0
2024-12-27,Google,Q4,192.7599945,194.9499969,195.3200073,190.6499939,192.7599945,192.7599945,18891400.0
2024-12-30,Google,Q4,191.2400055,189.8000031,192.5500031,189.1199951,191.2400055,191.2400055,14264700.0
2024-12-31,Google,Q4,189.3000031,191.0800018,191.9600067,188.5099945,189.3000031,189.3000031,17466900.0
2024-07-30,Netflix,Q3,622.5800171,630.1699829,634.6900024,617.0,622.5800171,622.5800171,3496600.0
2024-07-31,Netflix,Q3,628.3499756,626.5700073,633.5999756,622.5800171,628.3499756,628.3499756,3134900.0
2024-08-01,Netflix,Q3,624.8499756,629.25,646.710022,617.6099854,624.8499756,624.8499756,3720600.0
2024-08-02,Netflix,Q3,613.6400146,620.9799805,625.2700195,608.3499756,613.6400146,613.6400146,3523000.0
2024-08-05,Netflix,Q3,598.5499878,587.039978,604.5599976,587.039978,598.5499878,598.5499878,4044200.0
2024-08-06,Netflix,Q3,609.5700073,600.6199951,622.4500122,600.6199951,609.5700073,609.5700073,4319100.0
2024-08-07,Netflix,Q3,611.4799805,616.0700073,632.0,610.6400146,611.4799805,611.4799805,3187800.0
2024-08-08,Netflix,Q3,630.3499756,621.9899902,632.289978,616.0200195,630.3499756,630.3499756,3283500.0
2024-08-09,Netflix,Q3,633.9400024,622.9899902,636.6199951,622.9899902,633.9400024,633.9400024,1980800.0
2024-08-12,Netflix,Q3,633.1400146,631.0,639.0,627.0700073,633.1400146,633.1400146,2331700.0
2024-08-13,Netflix,Q3,648.0200195,638.5599976,650.9699707,635.5,648.0200195,648.0200195,2639600.0
2024-08-14,Netflix,Q3,661.6799927,648.7000122,663.5700073,648.7000122,661.6799927,661.6799927,4014300.0
2024-08-15,Netflix,Q3,663.2199707,668.4899902,673.1900024,659.7999878,663.2199707,663.2199707,3210200.0
2024-08-16,Netflix,Q3,674.0700073,669.4299927,680.2299805,665.3599854,674.0700073,674.0700073,3511000.0
2024-08-19,Netflix,Q3,688.5300293,674.0700073,688.8400269,672.9099731,688.5300293,688.5300293,3016200.0
2024-08-20,Netflix,Q3,698.539978,688.8599854,711.3300171,688.25,698.539978,698.539978,4813100.0
2024-08-21,Netflix,Q3,697.1199951,697.0,701.0,691.3800049,697.1199951,697.1199951,2235300.0
2024-08-22,Netflix,Q3,688.960022,691.0,701.5,686.2399902,688.960022,688.960022,2729400.0
2024-08-23,Netflix,Q3,686.7299805,694.1300049,696.0700073,678.6300049,686.7299805,686.7299805,2354500.0
2024-08-26,Netflix,Q3,688.4400024,687.2600098,690.5900269,681.6400146,688.4400024,688.4400024,1354200.0
2024-08-27,Netflix,Q3,695.7199707,688.5300293,707.8900146,686.9199829,695.7199707,695.7199707,3164900.0
2024-08-28,Netflix,Q3,683.8400269,695.8300171,696.6699829,677.0999756,683.8400269,683.8400269,2430600.0
2024-08-29,Netflix,Q3,692.4799805,690.0,699.7999878,686.0700073,692.4799805,692.4799805,2187000.0
2024-08-30,Netflix,Q3,701.3499756,700.3599854,701.8599854,688.1599731,701.3499756,701.3499756,3266700.0
2024-09-03,Netflix,Q3,675.3200073,700.0999756,703.8599854,671.0100098,675.3200073,675.3200073,3161000.0
2024-09-04,Netflix,Q3,679.6799927,673.3099976,684.6500244,673.0599976,679.6799927,679.6799927,1785300.0
2024-09-05,Netflix,Q3,683.6199951,673.1400146,687.3099976,671.8599854,683.6199951,683.6199951,1810100.0
2024-09-06,Netflix,Q3,665.7700195,681.8599854,683.1500244,662.3400269,665.7700195,665.7700195,2991300.0
2024-09-09,Netflix,Q3,675.4199829,674.0,683.5,672.1400146,675.4199829,675.4199829,2683100.0
2024-09-10,Netflix,Q3,673.6199951,676.8699951,680.5900269,665.8099976,673.6199951,673.6199951,2079200.0
2024-09-11,Netflix,Q3,681.4699707,677.460022,682.9699707,660.7999878,681.4699707,681.4699707,2391900.0
2024-09-12,Netflix,Q3,686.7999878,684.9199829,694.8800049,682.2000122,686.7999878,686.7999878,2588400.0
2024-09-13,Netflix,Q3,697.0599976,680.0100098,699.6400146,680.0,697.0599976,697.0599976,2276500.0
2024-09-16,Netflix,Q3,696.5,700.0,703.0200195,688.6300049,696.5,696.5,1843700.0
2024-09-17,Netflix,Q3,706.9099731,700.8200073,707.6300049,698.3699951,706.9099731,706.9099731,2298600.0
2024-09-18,Netflix,Q3,690.4699707,707.5499878,707.5499878,688.0,690.4699707,690.4699707,2984400.0
2024-09-19,Netflix,Q3,704.3200073,705.0,715.6599731,695.3699951,704.3200073,704.3200073,4228500.0
2024-09-20,Netflix,Q3,701.0300293,705.5499878,706.6699829,696.3099976,701.0300293,701.0300293,3998100.0
2024-09-23,Netflix,Q3,705.3699951,702.3900146,712.25,699.1599731,705.3699951,705.3699951,3224300.0
2024-09-24,Netflix,Q3,722.2600098,706.6300049,722.4400024,704.4500122,722.2600098,722.2600098,3565700.0
2024-09-25,Netflix,Q3,721.5599976,721.0,725.1199951,716.210022,721.5599976,721.5599976,2259800.0
2024-09-26,Netflix,Q3,711.4299927,724.7299805,725.2600098,701.7199707,711.4299927,711.4299927,2833000.0
2024-09-27,Netflix,Q3,707.3499756,708.3599854,710.710022,701.25,707.3499756,707.3499756,2395600.0
2024-09-30,Netflix,Q3,709.2700195,707.0,711.210022,702.8200073,709.2700195,709.2700195,1709900.0
2024-10-01,Netflix,Q4,706.1300049,713.6400146,717.7600098,698.5900269,706.1300049,706.1300049,2813500.0
2024-10-02,Netflix,Q4,711.0900269,706.1300049,716.210022,704.6900024,711.0900269,711.0900269,1758200.0
2024-10-03,Netflix,Q4,706.7999878,704.2600098,708.8099976,700.0,706.7999878,706.7999878,2256400.0
2024-10-04,Netflix,Q4,719.7000122,713.3200073,721.0100098,708.8200073,719.7000122,719.7000122,2229000.0
2024-10-07,Netflix,Q4,701.9199829,714.7600098,715.8800049,696.4299927,701.9199829,701.9199829,3360500.0
2024-10-08,Netflix,Q4,721.7600098,703.8800049,725.0599976,703.5499878,721.7600098,721.7600098,3187400.0
2024-10-09,Netflix,Q4,727.4299927,719.25,728.5900269,718.8699951,727.4299927,727.4299927,1981100.0
2024-10-10,Netflix,Q4,730.289978,723.289978,733.8499756,722.5,730.289978,730.289978,2767900.0
2024-10-11,Netflix,Q4,722.789978,734.9000244,736.0,721.2199707,722.789978,722.789978,2299500.0
2024-10-14,Netflix,Q4,713.0,725.0,726.6199951,711.3099976,713.0,713.0,2797100.0
2024-10-15,Netflix,Q4,705.9799805,712.5100098,713.4000244,699.7800293,705.9799805,705.9799805,2932800.0
2024-10-16,Netflix,Q4,702.0,703.4299927,705.5900269,697.8200073,702.0,702.0,2494300.0
2024-10-17,Netflix,Q4,687.6500244,704.3499756,704.4099731,677.8800049,687.6500244,687.6500244,8926700.0
2024-10-18,Netflix,Q4,763.8900146,737.6400146,766.2800293,736.2299805,763.8900146,763.8900146,15974100.0
2024-10-21,Netflix,Q4,772.0700073,765.7600098,773.0,756.5999756,772.0700073,772.0700073,6057100.0
2024-10-22,Netflix,Q4,764.2399902,765.2700195,769.7000122,761.1199951,764.2399902,764.2399902,2987300.0
2024-10-23,Netflix,Q4,749.289978,762.8300171,763.789978,744.2600098,749.289978,749.289978,3749000.0
